,Title,PublishedDate,Views,Likes,Comments,Month
0,GAME THEMES OF THE DECADE (2011-2020) – Classical Guitar Medley,2022-01-17,7546,978,78,Jan
1,BURN BUTCHER BURN (Jaskier's New Song) but it's... classical guitar ballad,2021-12-20,132854,6081,133,Dec
2,THE WHEEL OF TIME (Amazon): Main Theme - Classical Guitar Cover,2021-11-23,10281,831,57,Nov
3,Diablo: Tristram Village (Seven/Twelve Strings Guitar),2021-10-11,22797,1865,127,Oct
4,The Witcher 3 – The Fields of Ard Skellig (Classical Guitar/Hurdy-Gurdy) ft. @Michalina Malisz,2021-07-28,45379,4011,194,Jul
5,The Lord of the Rings – Memories of The Shire & Rivendell (Classical Guitar Suite),2021-06-28,25273,2150,134,Jun
6,The Witcher 3 – Kaer Morhen (Classical Guitar),2021-05-24,187996,12411,326,May
7,The Elder Scrolls V: Skyrim - Ancient Stones (Classical/Acoustic Guitar),2021-04-07,35560,2387,151,Apr
8,Heroes of Might and Magic III - Town Themes (Guitar Suite),2021-03-03,88973,4924,386,Mar
9,The Witcher 3 - GUITAR TRIBUTE 2021,2020-12-15,100308,4952,249,Dec
10,Celtic Guitar Music - Legend (by Adrian von Ziegler) - Guitars & Dragons,2020-09-28,40633,1993,116,Sep
11,The Witcher 3 - Ard Skellig Village (Classical Guitar),2020-07-27,267968,15168,478,Jul
12,"SPECIAL VIDEO - Q&A: My guitar collection, Tutorial videos, Yennefer or Triss? ^^",2020-07-20,8260,772,72,Jul
13,The Witcher 3: Wild Hunt - Ladies of the Woods (Classical Guitar),2020-06-30,66233,4017,128,Jun
14,The Lord of the Rings - Rohan (Classical Guitar Suite),2020-06-04,368407,18224,421,Jun
15,The Lord of the Rings - Concerning Hobbits (Shire) - Classical Guitar,2020-04-20,433662,25609,632,Apr
16,"SKYRIM Main Theme ""Dragonborn"" (Classical Guitar) - Bard Style",2020-03-27,237149,12656,328,Mar
17,"MORROWIND Main Theme ""Call of Magic/Nerevar Rising"" (Classical Guitar) - Bard Style",2020-02-10,56560,3191,141,Feb
18,THE WITCHER (Netflix): Toss a Coin to Your Witcher - Guitar Cover by Lukasz Kapuscinski,2020-01-13,225316,9748,258,Jan
19,The Witcher 3: Wild Hunt - Ultimate Guitar Medley,2019-09-30,755125,31187,784,Sep
20,TRINE 2: Main Theme - Guitar cover (Celtic Guitar Music),2019-07-30,34308,1413,92,Jul
21,Metro 2033 - Main theme - Guitar cover (feat. Harry Murrell),2019-06-30,37583,1740,76,Jun
22,THE LAST OF US Theme Song - Classical Guitar Cover,2019-05-27,64060,3075,119,May
23,Podrick's Song (Jenny of Oldstones) goes DROPPED C on Classical Guitar (FREE TABS),2019-04-25,58189,2238,79,Apr
24,The Elder Scrolls V: SKYRIM - Secunda (Classical Guitar cover by Lukasz Kapuscinski),2019-03-27,52118,2764,121,Mar
25,Heroes of Might and Magic II - Magnificent Field (Grass Theme) - Classical Guitar Cover,2019-02-25,29144,1239,94,Feb
26,MERLIN - MAIN THEME (The Call of Destiny) - Classical Guitar Cover by Lukasz Kapuscinski,2019-01-28,36395,1636,137,Jan
27,THE BARD'S TALE - Main Theme - Classical Guitar Cover (by Lukasz Kapuscinski),2018-12-18,40436,1831,86,Dec
28,Thronebreaker: The Witcher Tales - Main Theme on Modern Classical Guitar,2018-11-19,23132,915,47,Nov
29,HOLLOW KNIGHT Main Theme on Guitar,2018-10-23,73784,3628,106,Oct
30,PRISCILLA'S SONG (The Witcher 3) - Guitar cover by Lukasz Kapuscinski,2018-09-06,154274,7067,245,Sep
31,THANK YOU!,2018-08-13,6835,768,76,Aug
32,"9 EPIC RPG TAVERN SONGS (Witcher 3, TES V: Skyrim, World of Warcraft) - Guitar Medley",2018-07-30,343197,13721,604,Jul
